#crosssection           uncertainty            Q2            XXXX x y z pt
2964288210.842054 10769266.220327 1.847096 2.874033 0.000199 0.490961 0.005901 0.034018 
11648813442.289434 12325544.592640 1.838824 2.866614 0.000199 0.488711 0.005056 0.132612 
9391777180.755857 7825717.470303 1.840252 2.855493 0.000198 0.489774 0.005424 0.326129 
317920616.255986 421537.509579 1.839606 2.836560 0.000197 0.492595 0.006590 0.712654 
449621858.628613 4194204.558173 1.885714 3.103886 0.000204 0.486483 0.035433 0.033031 
1533025869.008437 4471363.877223 1.826275 2.892799 0.000202 0.479423 0.035689 0.133601 
1442686774.719065 3067159.067374 1.805872 2.821764 0.000202 0.474710 0.036008 0.331495 
64743669.653553 190228.478949 1.809045 2.767215 0.000201 0.476415 0.036157 0.759412 
136565010.228261 1634483.807886 1.891153 3.154625 0.000205 0.483039 0.069342 0.033038 
564713890.836454 1918953.759330 1.832194 2.926696 0.000203 0.477784 0.070394 0.136799 
657175503.906770 1463780.508998 1.826244 2.889406 0.000202 0.478314 0.071411 0.334635 
32753860.261082 95673.822902 1.819185 2.829808 0.000201 0.478401 0.072066 0.773983 
17426824.706825 238366.054490 1.810757 2.908058 0.000202 0.475704 0.182762 0.033213 
81916400.714200 298373.384179 1.813928 2.882158 0.000202 0.474494 0.181842 0.138474 
128677565.244801 264430.209349 1.821811 2.895080 0.000202 0.476417 0.188557 0.344069 
8489516.198486 19885.097615 1.842989 2.947100 0.000202 0.481360 0.198334 0.816075 
1318015.694618 56770.954894 1.763090 2.649533 0.000200 0.469604 0.517618 0.033152 
5794541.479926 68725.011149 1.738528 2.659959 0.000200 0.461866 0.519882 0.138317 
10469136.414147 65319.930274 1.757785 2.703276 0.000202 0.463111 0.521360 0.353684 
991219.065327 5884.393562 1.814343 2.907656 0.000202 0.477066 0.527503 0.843282 
166280.273161 28516.831584 1.901990 2.451946 0.000205 0.489048 0.881134 0.039267 
694464.670263 33646.923216 1.692125 2.519084 0.000195 0.461965 0.877172 0.139622 
1323721.390266 32847.594770 1.705521 2.566877 0.000201 0.452071 0.879561 0.352268 
121216.921821 2910.137517 1.754558 2.717211 0.000198 0.474117 0.875347 0.779581 
1140103869.888127 3755445.001352 2.817745 2.874033 0.000584 0.261290 0.007112 0.034192 
4577135930.889408 4344356.674880 2.794085 2.866614 0.000587 0.258347 0.005935 0.132640 
3614569854.530652 2729869.473727 2.797603 2.855493 0.000585 0.259139 0.006372 0.324950 
113984586.186679 141926.417228 2.825157 2.836560 0.000580 0.263596 0.007795 0.701873 
232869911.036120 1697250.263717 2.883123 3.103886 0.000601 0.259937 0.035848 0.032659 
737802800.915324 1744209.785353 2.683965 2.892799 0.000600 0.243820 0.035770 0.133272 
683946866.288626 1187475.759753 2.620136 2.821764 0.000599 0.238298 0.036038 0.330516 
29160384.663237 71785.511704 2.609612 2.767215 0.000596 0.238609 0.036222 0.747191 
72093803.002311 667764.252351 2.920102 3.154625 0.000606 0.261799 0.068782 0.032995 
278565605.663872 757839.639414 2.701585 2.926696 0.000602 0.244305 0.070401 0.136236 
319029716.411551 573474.540498 2.668265 2.889406 0.000601 0.241816 0.071562 0.334344 
15235373.659766 36690.339758 2.667237 2.829808 0.000597 0.242951 0.072227 0.762182 
8747826.759861 94961.739210 2.643973 2.908058 0.000603 0.239809 0.181581 0.033355 
40729040.217074 118301.440764 2.632303 2.882158 0.000602 0.237955 0.181663 0.138497 
63465039.875583 104421.571918 2.645677 2.895080 0.000602 0.239434 0.188153 0.343955 
4065732.223398 7737.825635 2.736963 2.947100 0.000600 0.248008 0.199382 0.800840 
566711.968093 20931.984142 2.410483 2.649533 0.000592 0.222494 0.519519 0.033344 
2742329.264426 26584.492659 2.385342 2.659959 0.000602 0.217176 0.519054 0.138979 
4969360.402340 25304.853491 2.423826 2.703276 0.000602 0.219988 0.522149 0.352965 
484670.718843 2313.681512 2.630575 2.907656 0.000601 0.238748 0.527106 0.834201 
51027.271343 8882.707785 2.011569 2.451946 0.000609 0.175669 0.855706 0.033587 
307709.909005 12593.728206 2.251911 2.519084 0.000601 0.208228 0.885805 0.139739 
592483.317255 12356.817730 2.357274 2.566877 0.000602 0.212300 0.881255 0.351661 
57057.767047 1122.671166 2.428803 2.717211 0.000594 0.222366 0.877296 0.774167 
251004962.933508 990984.938468 3.205776 2.874033 0.001782 0.099361 0.009075 0.034695 
1071277939.949585 1181996.942654 3.128728 2.866614 0.001800 0.096280 0.007464 0.132747 
816814999.413822 729813.893078 3.148218 2.855493 0.001794 0.097113 0.008098 0.323155 
23002178.977375 35855.961161 3.243887 2.836560 0.001766 0.101219 0.009906 0.684844 
71265768.838498 528039.470662 3.136978 3.103886 0.001855 0.094280 0.035828 0.032754 
228913813.544628 546388.150811 2.886359 2.892799 0.001859 0.086509 0.035798 0.133362 
211065093.399625 370986.820681 2.815726 2.821764 0.001858 0.084351 0.036085 0.330070 
8428313.879457 21704.372283 2.814860 2.767215 0.001842 0.084979 0.036206 0.727270 
22653241.920115 210511.624786 3.173629 3.154625 0.001867 0.094498 0.069154 0.032923 
88995810.514029 240899.032487 2.898503 2.926696 0.001864 0.086599 0.070389 0.136337 
100997985.838774 181464.481881 2.876206 2.889406 0.001864 0.085889 0.071640 0.333397 
4498426.341173 11212.234920 2.861670 2.829808 0.001851 0.086064 0.072271 0.742207 
2923598.449880 30874.088027 2.873229 2.908058 0.001881 0.085502 0.180827 0.033358 
13448813.701250 38231.086280 2.822982 2.882158 0.001871 0.084097 0.182331 0.138278 
20861979.526490 33669.557507 2.843904 2.895080 0.001871 0.084612 0.189287 0.343642 
1255779.363806 2418.482380 2.952459 2.947100 0.001860 0.088459 0.201225 0.775370 
202470.685555 7036.342727 2.547205 2.649533 0.001864 0.076574 0.518610 0.033558 
921143.807352 8665.008625 2.550165 2.659959 0.001879 0.075947 0.519481 0.138607 
1700215.793076 8324.196165 2.593973 2.703276 0.001886 0.076658 0.521877 0.353771 
159496.317479 746.435384 2.826348 2.907656 0.001876 0.083775 0.527872 0.811800 
20051.444705 3131.509551 2.279925 2.451946 0.001887 0.065829 0.882303 0.032793 
