#SSA asymmetry AUT for PI- COMPASS
# e- p -> e- h X
# h = PI-
#Bakur Parsamyan [COMPASS Collaboration],
#<Q2>    <y>     <pT>    <x>     <z>     <W>  Collins sigma
3.35    0.28    0.15    0.0485  0.347   8.66  0.0081  0.008   
3.29    0.29    0.25    0.0474  0.344   8.71  0.0096  0.0066
3.26    0.29    0.35    0.0462  0.342   8.85  0.0059  0.0062
3.33    0.3     0.45    0.0461  0.34    8.97  0.0122  0.0067
3.42    0.31    0.55    0.046   0.342   9.08  0.0156  0.0075
3.5     0.32    0.67    0.0457  0.351   9.21  0.0217  0.0075
3.61    0.33    0.82    0.0454  0.366   9.36  0.0202  0.0102
3.78    0.34    1.04    0.0447  0.386   9.61  0.0358  0.0108
4.26    0.39    1.56    0.0435  0.4     10.37 0.0184  0.0233

