#SSA asymmetry AUT for PI- COMPASS
# e- p -> e- h X
# h = PI-
#Bakur Parsamyan [COMPASS Collaboration],
#<Q2>    <y>     <pT>    <x>     <z>     <W>  Collins sigma
1.24    0.65    0.54    0.0064  0.286   13.89 -0.0299 0.0186
1.47    0.47    0.52    0.0106  0.32    11.72 0.0048  0.009   
1.72    0.35    0.5     0.0164  0.344   10.07 0.0118  0.0069
2.05    0.27    0.49    0.0257  0.359   8.67  0.005   0.0056
2.7     0.23    0.48    0.0398  0.365   7.87  0.0071  0.0058
4.21    0.23    0.48    0.0626  0.359   7.73  0.0248  0.007   
6.64    0.22    0.48    0.1007  0.353   7.52  0.0292  0.0086
10.48   0.22    0.48    0.1619  0.349   7.19  0.0494  0.0113
20.77   0.24    0.51    0.2867  0.345   6.93  0.0754  0.0152

