#SSA asymmetry AUT for PI+ COMPASS
# e- p -> e- h X
# h = PI+
#Bakur Parsamyan [COMPASS Collaboration],
#<Q2>    <y>     <pT>    <x>     <z>     <W>  Collins sigma
3.54    0.28    0.15    0.0517  0.346   8.57  -0.0097 0.0073
3.49    0.28    0.25    0.0507  0.345   8.61  -0.0088 0.006   
3.44    0.29    0.35    0.0493  0.344   8.73  -0.0156 0.0057
3.52    0.29    0.45    0.0492  0.345   8.85  -0.0118 0.006   
3.58    0.3     0.55    0.0489  0.35    8.96  -0.0127 0.0068
3.67    0.31    0.67    0.0485  0.363   9.08  -0.0133 0.0068
3.79    0.32    0.82    0.0483  0.382   9.23  -0.0103 0.0091
4.01    0.34    1.04    0.0481  0.404   9.5   0.0014  0.0097
4.69    0.39    1.56    0.0483  0.415   10.28 -0.0114 0.0212

