#SSA asymmetry AUT for PI+ COMPASS
# e- p -> e- h X
# h = PI+
#Bakur Parsamyan [COMPASS Collaboration],
#<Q2>    <y>     <pT>    <x>     <z>     <W>  Collins sigma
1.24    0.65    0.54    0.0065  0.285   13.86  -0.0154 0.0179
1.46    0.47    0.52    0.0106  0.321   11.69  -0.0125 0.0085
1.71    0.35    0.51    0.0164  0.347   10.04  0.0039  0.0064
2.04    0.27    0.49    0.0257  0.363   8.65   0.0016  0.0052
2.7     0.23    0.48    0.0399  0.37    7.86   -0.0092 0.0053
4.2     0.23    0.48    0.0627  0.367   7.73   -0.01   0.0062
6.65    0.22    0.48    0.1009  0.365   7.52   -0.0371 0.0075
10.48   0.22    0.48    0.1621  0.363   7.19   -0.0362 0.0096
20.94   0.24    0.51    0.2876  0.361   6.94   -0.0531 0.0127

